,name,latitude,longitude,bikes_available
0,Queen St E / Woodward Ave,43.665269,-79.319796,6
1,Primrose Ave / Davenport Rd,43.67142,-79.445947,5
2,Queen St. E / Rhodes Ave.,43.666224,-79.317693,3
3,Bond St / Queen St E,43.653236,-79.376716,2
4,Church St / Alexander St,43.663722,-79.380288,4
5,University Ave / Gerrard St W (East Side),43.657763,-79.389165,6
6,Edward St / Yonge St,43.656729,-79.382736,8
7,Euclid Ave / Bloor St W,43.664467,-79.414783,10
8,Yonge St / Aylmer Ave,43.675492,-79.388858,0
9,Davenport Rd / Avenue Rd,43.674991,-79.396273,5
10,Yonge St / Yorkville Ave,43.671944,-79.387778,1
11,Dundas St E / Broadview Ave,43.662365,-79.351104,9
12,Front St W / Yonge St (Hockey Hall of Fame),43.646144,-79.377962,5
13,Gerrard St E / River St,43.663993,-79.358534,10
14,Jarvis St / Dundas St E,43.657266,-79.374756,24
15,Logan Av / Gerrard St E,43.6672144,-79.3452697,8
16,Regal Rd / Dufferin St,43.673939,-79.441159,7
17,Morse St / Eastern Ave,43.657991,-79.340075,8
18,Alton Ave / Dundas St E (Greenwood Park),43.66745,-79.329408,8
19,Blake St / Boultbee Ave,43.672453,-79.338259,10
20,Eastern Ave / Winnifred Ave,43.6592088,-79.3348396,7
21,Gamble Ave / Broadview Ave,43.689211,-79.35438,12
22,111 Bond St (North of Dundas St E)  - SMART,43.656927,-79.378497,12
23,Wallace Ave / Symington Ave - SMART,43.661324,-79.449534,6
24,Dundas St E / Pembroke St - SMART,43.658295,-79.372346,14
25,Victoria Park Subway Station - SMART,43.6940155,-79.2889842,6
26,Wychwood Ave / Benson Ave - SMART,43.6809164,-79.4229684,1
27,Lawton Blvd / Yonge St,43.6910667,-79.39535,10
28,Yonge St / Davisville Ave,43.6975969,-79.39654,3
29,Fort York  Blvd / Capreol Ct,43.639832,-79.395954,22
30,Madison Ave / Bloor St W,43.667158,-79.402761,4
31,St. George St / Bloor St W,43.667333,-79.399429,8
32,King St W / York St,43.6480008,-79.383177,4
33,University Ave / Elm St,43.656518,-79.389099,3
34,Rosehill Ave / Avoca Ave - SMART,43.687999,-79.38906,2
35,Bloor St W / Dundas St W,43.6563889,-79.45166666666667,9
36,Bathurst St / Fort York Blvd,43.639179,-79.399595,15
37,Ontario Place Blvd / Lake Shore Blvd W,43.6322445,-79.4108105,4
38,Spadina Ave / Willcocks St,43.6616667,-79.40138888888889,11
39,Cariboo St / Rail Path,43.66666667,-79.45833333333334,6
40,Dundas St W / Edna Ave,43.657192,-79.452559,6
41,College St / Major St,43.6576,-79.4032,12
42,McGill St / Church St,43.660694,-79.379052,13
43,Queens Quay W / Dan Leckie Way,43.636533,-79.395854,25
44,York St / Queens Quay W,43.640132,-79.380464,28
45,College Park South,43.659777,-79.382767,16
46,25 York St â€“ Union Station South,43.643667,-79.380414,6
47,161 Bleecker St (South of Wellesley),43.666233,-79.373327,9
48,Spadina Ave / Fort York Blvd,43.640114,-79.393249,20
49,Augusta Ave / Denison Sq,43.653766,-79.4016759,12
50,Lansdowne Subway Station,43.6587734,-79.443054,4
51,Lansdowne Ave / Whytock Ave,43.6538888888889,-79.4413888888889,6
52,Sterling Rd / Dundas St W,43.6508333333333,-79.4430555555556,6
53,St Clarens Ave / College St,43.651238,-79.43868,8
54,Ossington Ave / College St,43.6544915,-79.422634,7
55,High Park Subway Station,43.6543604,-79.4655296,5
56,Lake Shore Blvd W / Ellis Ave,43.635932,-79.465083,16
57,Parkside Dr / Bloor St W - SMART,43.654501,-79.460053,3
58,Lake Shore Blvd W / Windermere Ave,43.634896,-79.467763,16
59,Martin Goodman Trail (Marilyn Bell Park),43.6314,-79.4304,18
60,Lake Shore Blvd W / The Boulevard Club,43.636731,-79.444966,11
61,Dundas St W / Roncesvalles Green P - SMART,43.6534268,-79.4512787,9
62,Erskine Ave / Yonge St SMART,43.7112153,-79.39894,0
63,D'Arcy St / McCaul St - SMART,43.655227,-79.39201,5
64,Mortimer Ave / Carlaw Ave SMART,43.685167,-79.34962,4
65,Cumberland Ave / Bay St SMART,43.6704537,-79.39014,4
66,20 Charles St E,43.6691099,-79.38551,4
67,Niagara St / Tecumseth St,43.641389,-79.404444,9
68,424 Wellington St W,43.643834,-79.396649,8
69,Dundas St W / St. Patrick St,43.6545174,-79.3895315,8
70,Robert St / Bloor St W - SMART,43.665846,-79.404998,3
71,John St  / Mercer St - SMART,43.6461,-79.3895,7
72,Queen St E / Hammersmith Ave,43.671349,-79.29451,7
73,Queen St. E / Eastern Ave,43.667208,-79.312315,9
74,Hubbard Blvd / Balsam Av,43.669328,-79.288949,16
75,Queen St. E / Spruce Hill Rd.,43.672571,-79.289,15
76,Lower Spadina Ave / Lake Shore Blvd,43.638497,-79.39192,18
77,Coxwell Ave /  Lake Shore Blvd E,43.662771,-79.315223,10
78,Amelia St. / Sumach St.,43.66852,-79.363525,11
79,Augusta Ave / Dundas St W,43.652473,-79.401456,13
80,Queen St W / Ossington Ave,43.643975,-79.419576,20
81,Trinity St /Front St E,43.651318,-79.36023,12
82,Dundas St W / Yonge St,43.656094,-79.381484,14
83,Kendal Ave / Spadina Rd,43.670318,-79.405181,1
84,Davenport Rd / Bathurst St,43.676667,-79.416111,3
85,Queen St W / Close Ave,43.640634,-79.435841,9
86,King St W / Joe Shuster Way,43.639444,-79.423611,14
87,Yarmouth Rd / Christie St,43.67,-79.42083333333333,2
88,Palmerston Ave / Vermont Ave,43.671389,-79.416389,4
89,Christie St / Benson Ave (Wychwood Barns),43.68,-79.42500000000001,6
90,King St W / Fraser Ave,43.6394444,-79.42527777777778,9
91,Macpherson Ave / Spadina Rd,43.675791,-79.40698,7
92,Bridgman Ave / Kendal Ave,43.675556,-79.410278,1
93,Bridgman Ave / Bathurst St,43.674444,-79.414722,4
94,Kendal Ave / Bernard Ave,43.671513,-79.408317,2
95,Pretoria Ave / Broadview Ave,43.6783213,-79.35822,2
96,Broadview Ave / Westwood Ave,43.6848652,-79.356602,17
97,Fulton Ave / Pape Ave,43.68395,-79.347046,1
98,Cosburn Ave / Donlands Ave,43.690537,-79.341307,2
99,Beltline Trail / Chaplin Cres.,43.704461,-79.423122,2
100,Lake Shore Blvd E / Leslie St,43.659195,-79.329196,11
101,King St E / Berkeley St,43.651885,-79.3649,16
102,Rosedale Park (20 Scholfield Ave),43.682645,-79.377557,0
103,Mary McCormick Rec Centre (Sheridan Ave),43.6475,-79.43305555555555,14
104,Soho St / Queen St W,43.6494896,-79.393535,0
105,Davenport Rd / Lansdowne Ave,43.671526,-79.44874,8
106,Front St W / University Ave (1),43.6451635,-79.3831757,7
107,Front St W / University Ave (2),43.6452972,-79.3827914,10
108,457 King St W,43.6452091,-79.3960744,18
109,Dufferin St / Sylvan Av (Dufferin Grove Park),43.6555556,-79.43361111111112,12
110,Roxborough St W / Yonge St,43.678077,-79.390328,3
111,Crawford St / Queen St W,43.645665,-79.415345,15
112,Lisgar St / Dundas St W - SMART,43.6493472,-79.42668,2
113,Dundas St E / Regent Park Blvd,43.660207,-79.361275,16
114,Lower Sherbourne St / The Esplanade,43.648655,-79.367061,25
115,Nelson St / Duncan St,43.648711,-79.389728,12
116,Jimmie Simpson Park (Queen St E),43.6605603,-79.3437663,14
117,Queen St E / Sackville St,43.6561111,-79.36138888888888,6
118,Mill St / Tannery Rd,43.652219,-79.354455,15
119,Cherry St / Distillery Ln,43.650279,-79.356832,13
120,Front St E / Cherry St,43.652686,-79.358395,14
121,Queen St W / Spadina Ave,43.649147,-79.395504,4
122,Yonge St / Harbour St,43.643795,-79.375413,21
123,Willcocks St / St. George St,43.662085,-79.397735,6
124,Dundas St E / Parliament St,43.659575,-79.365769,13
125,51 Parliament St,43.65205,-79.362198,17
126,Queen's Park / Bloor St W,43.668456,-79.393899,3
127,Fort York Blvd / Bathurst St SMART,43.639052,-79.399792,8
128,Alma Ave / Gladstone Ave SMART,43.6448617,-79.42822,10
129,College St / Markham St,43.6563888888889,-79.4091666666667,14
130,Queen St W / Cowan Ave,43.6409,-79.432837,18
131,Queen St W / Gladstone Ave,43.6430555555556,-79.4275,11
132,Harbord St / Clinton St,43.660414,-79.415646,11
133,Central Tech  (Harbord St),43.661975,-79.407896,6
134,Roxton Rd / Harbord St,43.65905,-79.422988,6
135,Ulster St / Bathurst St,43.66,-79.4088888888889,10
136,Mortimer Ave / Coxwell Ave,43.690564,-79.326319,2
137,Danforth Ave / Barrington Ave,43.688325,-79.300463,0
138,Pacific Ave / Glenlake Ave,43.65716,-79.46478,4
139,Broadview Subway Station,43.6772,-79.35858,6
140,Church St  / Wood St,43.662712,-79.379903,19
141,College Park - Gerrard Entrance,43.658938,-79.383518,22
142,Danforth Ave / Coxwell Ave,43.683378,-79.322961,2
143,12 Harbour St,43.6425636,-79.3762,8
144,Howard Park Ave / Dundas St W - SMART,43.6521,-79.4486,7
145,Yonge St / Bloor St,43.669969,-79.386532,6
146,Dufferin Gate - SMART,43.633473,-79.425679,11
147,Lake Shore Blvd W / Ontario Dr,43.630254,-79.420317,10
148,Bloor St W / Shaw Ave - SMART,43.662403,-79.423098,26
149,Concord Av / Dewson St,43.656945,-79.424911,8
150,Hocken Ave / Vaughan Rd,43.6817346,-79.4184725,1
151,St Clair Ave W / Bathurst St.,43.683296,-79.418734,10
152,Queen St E / Nursewood Rd,43.673831,-79.281455,16
153,Kew Beach Ave / Kenilworth Ave,43.666325,-79.3014,17
154,Dovercourt Rd / Harrison St (Green P) - SMART,43.651145,-79.423742,4
155,Baldwin St / Spadina Ave - SMART,43.654905,-79.398448,11
156,Frederick St / King St E,43.651118,-79.369411,22
157,College St / Borden St,43.6571,-79.4056,5
158,Beverley  St / Dundas St W,43.652823,-79.393388,9
159,Bay St / St. Joseph St,43.665527,-79.387499,8
160,Gould St / Mutual St,43.6582,-79.3768,8
161,Riverdale Park North (Broadview Ave),43.671172,-79.354704,1
162,Danforth Ave / Ellerbeck St,43.677076,-79.35667,8
163,Pape Subway Station (Green P),43.680223,-79.344062,2
164,Danforth Ave / Gough Ave,43.678401,-79.346289,3
165,Danforth Ave / Lamb Ave,43.681991,-79.329455,3
166,King St W / Stafford St,43.6422222,-79.41111111111111,12
167,Bathurst St / Lennox St,43.663808,-79.410491,11
168,Bathurst Subway Station,43.6666667,-79.41166666666668,5
169,Bloor St W / Christie St,43.6638889,-79.41888888888889,2
170,Ossington Ave / Bloor St W,43.661705,-79.425734,2
171,Essex St / Christie St - SMART,43.6686111,-79.42027777777778,1
172,Westmoreland Ave / Fernbank Ave,43.665327,-79.43235,9
173,Havelock St / Dufferin Park,43.657343,-79.43112,7
174,Bathurst St / Adelaide St W,43.645324,-79.40345,21
175,Mill St / Parliament St,43.650256,-79.36163,3
176,Ossington Ave / Harrison St,43.651111111111106,-79.4213888888889,13
177,80 Clinton St,43.656296,-79.414663,7
178,Claremont St / Dundas St W,43.651281,-79.411717,4
179,Rusholme Park Cres / College St,43.65277778,-79.42972222,8
180,College St / Crawford St,43.655,-79.418889,9
181,Gerrard Square Mall (1010 Gerrard St E),43.668553,-79.338673,15
182,Queen St E / Alton Av,43.663912,-79.327987,5
183,Simcoe St / Wellington St W North,43.6462176,-79.3855048,6
184,Coxwell Ave / Plains Rd,43.69595,-79.328535,7
185,Carlaw Ave / Strathcona Ave,43.6753188,-79.3462789,10
186,Logan Ave / Bain Ave,43.6720273,-79.3470557,5
187,Liberty St / Fraser Ave Green P,43.637981,-79.424146,12
188,King St W / Douro St,43.640885,-79.416379,9
189,Queen St E / Berkeley St,43.6552778,-79.36583333333333,13
190,Howard St / Sherbourne St,43.6712581,-79.376367,5
191,Carlton St / Parliament St,43.664524,-79.36793,21
192,Sumach St / Carlton St. (Riverdale Farm),43.665867,-79.362506,13
193,King St W / Bay St (East Side),43.648575,-79.380042,12
194,Front St W / Blue Jays Way,43.643473,-79.390477,9
195,Metro Hall Plaza,43.645859,-79.38783,25
196,Parliament St / Gerrard St,43.662132,-79.3656796,9
197,Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,9
198,Jarvis St / Carlton St,43.66207,-79.37617,11
199,Lake Shore Blvd E / Knox Ave,43.660206,-79.3244,7
200,Hubbard Blvd. / Glen Manor Dr.,43.668633,-79.291162,14
201,Yonge St / Dundonald St - SMART,43.665801,-79.384796,5
202,Bay St / Charles St W - SMART,43.668153,-79.38891,4
203,Church St / Dundas St E - SMART,43.657024,-79.377257,4
204,Yonge St / Alexander St - SMART,43.662862,-79.383572,13
205,Eglinton Ave W / Henning Ave SMART,43.7063473,-79.40161,0
206,Balliol St / Yonge St  SMART,43.6978701,-79.39419,0
207,Frobisher Ave / Lascelles Blvd,43.696708,-79.40045,0
208,Front St E / Scott St,43.6476616,-79.37549,6
209,Frederick St / The Esplanade,43.6487245,-79.36839,15
210,King St W / Bay St (West Side),43.64852,-79.380576,4
211,Elizabeth St / Edward St (Bus Terminal),43.656026,-79.385327,7
212,King St W / Spadina Ave,43.645323,-79.395003,5
213,Glen Edyth Dr / Davenport Rd,43.677778,-79.405556,3
214,Queens Quay / Yonge St,43.641646,-79.375308,16
215,Front St W / Bay St (North Side),43.646162,-79.378912,4
216,Danforth Ave / Westlake Ave,43.687323,-79.304848,4
217,Jarvis St / Isabella St,43.668991,-79.379385,18
218,Yonge St / Wood St,43.6622222,-79.3825,11
219,King St W / Tecumseth St,43.64333333333333,-79.40555555555557,14
220,Beverley St / College St,43.6575,-79.39527777777778,20
221,Gould St / Yonge St (Ryerson University),43.657424,-79.381019,8
222,Front St W / Bay St (South Side),43.64595,-79.378761,3
223,Charles St W / Balmuto St - SMART,43.668427,-79.38725,15
224,Charles St E / Jarvis St - SMART,43.669604,-79.381171,12
225,Queen St E / Pape Ave - SMART,43.661673,-79.337789,12
226,Gerrard St E / Broadview - SMART,43.665656,-79.352055,11
227,Humber Bay Shores Park East,43.6308933,-79.4722622,20
228,Humber Bay Shores Park West,43.6224434,-79.480284,17
229,Taddle Creek Park,43.66986,-79.398443,5
230,Thompson St / Broadview Ave - SMART,43.659471,-79.350325,10
231,Roncesvalles Ave / Marmaduke St,43.650492,-79.450842,18
232,Queen St W  /  Fuller Ave - SMART,43.640255,-79.439223,11
233,King / Cowan Ave - SMART,43.637922,-79.431734,10
234,Garden Ave / Roncesvalles Ave,43.643769,-79.447915,10
235,Sorauren Ave / Geoffrey St - SMART,43.649172,-79.4445087,9
236,Bloor St W / Manning Ave - SMART,43.663912,-79.416124,2
237,Simcoe St / Wellington St W South,43.6458569,-79.3853654,18
238,Mallon Ave / Jones Ave -SMART,43.66587,-79.33443,6
239,Berkeley St / Dundas St E - SMART,43.658816,-79.367318,17
240,128 Sterling Rd - SMART,43.654004,-79.444792,7
241,Sunnyside Ave / The Queensway - SMART,43.6397,-79.44865,10
242,Sackville St / Eastern Ave - SMART,43.653809,-79.3595,7
243,Davenport Rd / McAlpine St - SMART,43.673768,-79.391253,7
244,Sumach St  / Queen St E,43.656638,-79.358749,5
245,Blythwood Rd / Yonge St - SMART,43.716652,-79.399993,4
246,Gerrard St E / Main St,43.684261,-79.299332,2
247,Southwood Dr / Kingston Rd - SMART,43.678685,-79.297974,7
248,Neil McLellan Park,43.65143,-79.47779,6
249,Jane St / Bloor St W (Jane Subway Station),43.64976,-79.48477,9
250,Antler St / Campbell Ave - SMART,43.664182,-79.449066,10
251,Clarence Square,43.64407,-79.3929,16
252,Lake Shore Blvd W / Louisa St,43.61868,-79.48674,12
253,Front St W / Simcoe St,43.6442,-79.38702,9
254,Lower Simcoe St / Bremner Blvd,43.64283,-79.38409,6
255,Glendonwynne Ave / Bloor St W,43.65182,-79.47421,9
256,Russell Hill Rd / St Clair Ave W,43.685569,-79.408019,4
257,Church St / Lombard St,43.651678,-79.375233,15
258,Richmond St E / Yonge St,43.651838,-79.378743,8
259,High Park Amphitheatre,43.645653,-79.464366,1
260,Queen's Park Cres W / Hoskin Ave,43.665221,-79.394009,11
261,Pottery Rd / Lower Don River Trail,43.688148,-79.362101,10
262,Bleecker St / St James Ave,43.669232,-79.374495,4
263,Western Battery Rd / Pirandello St,43.640075,-79.414156,17
264,Carlaw Ave / Danforth Ave,43.678285,-79.347346,8
265,Cosburn Ave / Cedarvale Ave,43.697139,-79.31469,5
266,Goodwood Park Ct / Dentonia Park,43.694826,-79.295208,2
267,Eastwood Rd / Coxwell Ave,43.673118,-79.318651,13
268,Trent Ave / Danforth Ave,43.689293,-79.295895,1
269,Orchard Park,43.66908,-79.3149,9
270,Clendenan Ave / Rowland St - SMART,43.66073,-79.47149,3
271,Martin Goodman Trail / Remembrance Dr,43.63121,-79.41414,0
272,Concord Ave / Bloor St W,43.66189,-79.42679,3
273,Gothic Ave / Quebec Ave,43.65389,-79.4675,7
274,Via Italia / Mackay Ave,43.676697,-79.445029,4
275,Rushton Rd / St Clair Ave W,43.68114,-79.4277,3
276,Dundas St E / Boulton Ave - SMART,43.663148,-79.347938,11
277,Gerrard St E / Leslie St,43.669813,-79.3335,16
278,Marilyn Bell Park Tennis Court,43.633537,-79.437461,15
279,The Queensway at South Kingsway,43.63632,-79.47307,22
280,Merton St / Mount Pleasant Rd,43.697819,-79.38786,2
281,Tyndall Ave / King St W - SMART,43.638426,-79.429142,13
282,College Park - Yonge St Entrance,43.65988,-79.38279,16
283,Bloor St W / Huron St,43.667023,-79.401805,4
284,Barton Ave / Howland Ave - SMART,43.66842,-79.410585,4
285,Keele St / Annette St,43.66402,-79.46418,8
286,Keele St / Vine Ave,43.66686,-79.46526,2
287,Howard St / Rose Ave,43.671278,-79.372127,7
288,Little Norway Park,43.635023,-79.399505,9
289,Isabella St / Church St,43.66834,-79.38235,12
290,University Ave / Armoury St,43.65263,-79.38766,11
291,Lascelles Blvd / Eglinton Ave W,43.70547,-79.40355,2
292,Polson Pier,43.641675,-79.354006,5
293,Dentonia Park,43.694341,-79.291416,14
294,Lower Jarvis / Queens Quay E,43.64422,-79.36927,13
295,Summerhill Ave / Maclennan Ave,43.685924,-79.376304,2
296,Queens Quay E / Lower Sherbourne St,43.645215,-79.364898,18
297,Wright Ave / Sorauren Ave - SMART,43.646677,-79.442741,16
298,Ellis Ave / The Queensway,43.63855,-79.46693,17
299,High Park - Grenadier Cafe,43.645599,-79.4657123,2
300,Winona Dr / Davenport Rd,43.674923,-79.430465,1
301,Danforth Ave / Aldridge Ave,43.684758,-79.316767,4
302,Dundonald St / Church St,43.66663,-79.38148,22
303,Gerrard St E / Malvern Ave - SMART,43.685221,-79.294766,9
304,Bathurst St/Queens Quay(Billy Bishop Airport),43.635492,-79.398253,23
305,Queens Quay W / Lower Simcoe St,43.63951,-79.383717,19
306,Bremner Blvd / Rees St,43.641529,-79.386741,12
307,King St W / Crawford St,43.6417852,-79.4131148,13
308,Yonge St / Dundas Sq,43.655766,-79.3802,13
309,St Clair Ave W / Winona Ave,43.680466,-79.432522,4
310,Bay St / Wellesley St W,43.664088,-79.387095,40
311,Humberside Grounds - SMART,43.65917,-79.46997,9
312,Bloor St E / Huntley St - SMART,43.671535,-79.379173,9
313,Wellington St W / York St,43.646734,-79.38301,13
314,Dalton Rd / Bloor St W,43.6662942,-79.4066433,2
315,Davenport Rd / Christie St,43.675278,-79.423889,20
316,King St W / Jordan St,43.648928,-79.378623,4
317,George St / King St E,43.6509552,-79.3707,13
318,E.T. Seton Park (Eglinton Ave E / Leslie St),43.715951,-79.351246,9
319,Woodbine Ave / Lake Shore Blvd E,43.665645,-79.304711,24
320,King St W / Charlotte St,43.645572,-79.39399,17
321,Jarvis St / Richmond St E,43.652777,-79.372637,7
322,Symington Ave / Dupont St,43.665538,-79.451263,7
323,King St E / Jarvis St,43.650325,-79.372287,19
324,Bay St / Bloor St W (East Side),43.66943,-79.38915,3
325,Bay St / Bloor St W (West Side),43.669244,-79.3894,1
326,Lonsdale Rd / Spadina Rd,43.688526,-79.412903,1
327,Wells Hill Ave / St Clair Ave W,43.683351,-79.41562,5
328,Dundas St E / George St,43.6574766,-79.373446,4
329,Fleet St / Bathurst St,43.636611,-79.400042,21
330,Tecumseth St / Queen St W - SMART,43.646552,-79.406468,3
331,Wellington St W / Bay St,43.647259,-79.379878,12
332,Briar Hill Ave / Yonge St - SMART,43.713524,-79.400162,3
333,King St E / Church St,43.65003919999999,-79.3733541,11
334,Bay St / Albert St,43.653264,-79.382458,21
335,Wellesley St W / Queen's Park Cres,43.663376,-79.392125,2
336,Bay St / College St (East Side),43.660439,-79.385525,10
337,University Ave / College St (West),43.659226,-79.390213,2
338,University Ave / College St (East),43.65995,-79.38964,4
